Year,Annual
1985,116.100
1985,114.600
1985,113.500
1985,112.500
1985,112.000
1985,111.800
1985,111.900
1985,112.100
1985,112.600
1986,112.700
1986,111.800
1986,110.800
1986,109.500
1986,108.600
1986,108.100
1986,107.600
1986,107.100
1986,107.400
1986,107.500
1986,107.600
1986,106.900
1987,106.600
1987,107.500
1987,109.500
1987,111.400
1987,113.100
1987,114.100
1987,115.000
1987,115.400
1987,115.700
1987,115.800
1987,116.100
1987,116.400
1988,115.900
1988,116.400
1988,116.900
1988,117.300
1988,117.400
1988,117.600
1988,117.900
1988,118.500
1988,118.900
1988,119.200
1988,119.200
1988,119.700
1989,121.100
1989,122.300
1989,122.700
1989,122.700
1989,121.700
1989,120.900
1989,120.100
1989,119.100
1989,118.600
1989,118.400
1989,118.600
1989,119.200
1990,119.200
1990,118.700
1990,118.500
1990,118.200
1990,117.600
1990,117.300
1990,117.500
1990,117.200
1990,117.200
1990,116.800
1990,115.400
1990,116.300
1991,116.600
1991,116.600
1991,116.800
1991,117.200
1991,117.900
1991,118.400
1991,119.400
1991,118.700
1991,118.400
1991,118.600
1991,119.000
1991,119.100
1992,118.600
1992,118.000
1992,118.600
1992,120.200
1992,121.300
1992,122.500
1992,123.500
1992,125.000
1992,126.200
1992,127.400
1992,128.300
1992,128.000
1993,127.400
1993,126.000
1993,126.600
1993,128.700
1993,131.500
1993,134.300
1993,136.100
1993,137.500
1993,138.700
1993,139.800
1993,140.700
1993,139.300
1994,136.800
1994,134.100
1994,133.600
1994,135.300
1994,137.900
1994,140.900
1994,142.600
1994,144.000
1994,145.400
1994,147.700
1994,150.100
1994,151.500
1995,152.400
1995,153.300
1995,154.800
1995,156.700
1995,157.700
1995,158.300
1995,157.500
1995,157.000
1995,156.500
1995,157.200
1995,157.800
1995,158.200
1996,158.100
1996,158.400
1996,159.100
1996,158.100
1996,157.400
1996,156.700
1996,156.700
1996,156.600
1996,156.800
1996,156.200
1996,155.700
1996,154.900
1997,154.800
1997,154.700
1997,155.000
1997,154.300
1997,153.500
1997,151.600
1997,150.100
1997,149.000
1997,148.200
1997,147.300
1997,147.000
1997,147.400
1998,148.100
1998,148.700
1998,148.400
1998,148.900
1998,149.900
1998,150.800
1998,151.400
1998,151.400
1998,151.600
1998,152.000
1998,153.000
1998,152.400
1999,150.600
1999,148.300
1999,147.400
1999,148.300
1999,149.600
1999,150.900
1999,152.300
1999,153.800
1999,155.700
1999,156.400
1999,156.100
1999,155.000
2000,153.900
2000,153.000
2000,153.000
2000,154.000
2000,155.400
2000,155.700
2000,155.300
2000,155.200
2000,156.200
2000,157.900
2000,159.300
2000,160.200
2001,160.400
2001,160.400
2001,159.900
2001,159.700
2001,159.100
2001,158.900
2001,158.300
2001,158.000
2001,157.300
2001,157.800
2001,157.400
2001,157.200
2002,155.600
2002,153.900
2002,152.100
2002,151.800
2002,151.800
2002,152.200
2002,152.700
2002,153.400
2002,152.200
2002,150.700
2002,148.800
2002,148.500
2003,148.300
2003,148.400
2003,148.500
2003,148.400
2003,147.900
2003,147.400
2003,145.700
2003,143.300
2003,139.000
2003,135.100
2003,132.000
2003,131.000
2004,131.800
2004,131.800
2004,131.800
2004,131.600
2004,131.800
2004,129.900
2004,130.900
2004,132.000
2004,135.500
2004,136.700
2004,137.700
2004,138.400
2005,138.600
2005,138.400
2005,138.300
2005,138.400
2005,138.800
2005,139.300
2005,139.900
2005,140.100
2005,140.300
2005,140.200
2005,140.300
2005,140.200
2006,140.300
2006,140.400
2006,140.800
2006,141.000
2006,141.100
2006,141.000
2006,140.700
2006,140.400
2006,139.900
2006,139.000
2006,138.300
2006,137.200
2007,136.169
2007,135.533
2007,135.201
2007,134.995
2007,134.653
2007,134.570
2007,134.748
2007,135.255
2007,136.022
2007,136.707
2007,137.559
2007,137.855
2008,138.938
2008,138.818
2008,138.541
2008,137.659
2008,136.393
2008,135.020
2008,133.709
2008,132.535
2008,131.176
2008,129.407
2008,128.048
2008,127.323
2009,126.668
2009,124.405
2009,122.210
2009,121.887
2009,122.533
2009,123.236
2009,122.844
2009,125.011
2009,127.631
2009,132.475
2009,135.730
2009,139.376
2010,142.829
2010,143.173
2010,142.377
2010,141.680
2010,140.952
2010,141.951
2010,142.512
2010,143.420
2010,144.032
2010,144.313
2010,144.751
2010,145.669
2011,146.478
2011,146.182
2011,145.646
2011,145.542
2011,146.476
2011,148.518
2011,149.971
2011,151.312
2011,151.677
2011,151.986
2011,152.187
2011,152.083
2012,151.106
2012,149.893
2012,149.265
2012,150.053
2012,151.587
2012,152.263
2012,151.970
2012,150.871
2012,149.647
2012,148.986
2012,148.932
2012,149.243
2013,149.741
2013,149.789
2013,148.912
2013,148.577
2013,148.501
2013,148.742
2013,149.058
2013,149.539
2013,150.458
2013,151.248
2013,151.993
2013,152.457
2014,151.535
2014,150.718
2014,149.641
2014,149.217
2014,149.006
2014,148.921
2014,149.216
2014,149.472
2014,149.859
2014,148.954
2014,147.488
2014,145.830
2015,144.875
2015,147.264
2015,147.694
2015,148.404
2015,149.290
2015,149.480
2015,149.078
2015,148.295
2015,147.554
2015,146.397
2015,144.850
2015,143.955
2016,144.638
2016,143.979
2016,143.659
2016,145.475
2016,146.416
2016,144.887
2016,143.270
2016,142.803
2016,144.851
2016,142.217
2016,139.975
2016,139.457
2017,138.761
2017,138.713
2017,139.232
2017,138.596
2017,138.601
2017,137.691
2017,136.872
2017,136.875
2017,135.033
2017,137.803
2017,138.261
2017,138.123
2018,138.559
2018,138.643
2018,138.212
2018,137.876
2018,138.533
2018,137.952
2018,137.608
2018,138.093
2018,136.920
2018,138.247
2018,139.763
2018,140.180
2019,142.214
2019,142.272
2019,141.218
2019,139.895
2019,138.573
2019,138.241
2019,138.132
2019,138.686
2019,138.694
2019,139.701
2019,139.579
2019,140.088
2020,139.424
2020,140.593
2020,141.667
2020,138.890
2020,137.922
2020,134.156
2020,136.770
2020,144.102
2020,152.968
2020,155.964
2020,154.817
2020,154.216
2021,153.361
2021,153.647
2021,154.930
2021,168.006
2021,178.929
2021,194.846
2021,193.734
2021,190.066
2021,190.308
2021,197.214
2021,203.485
2021,211.728
2022,215.494
2022,216.876
2022,209.646
2022,206.194
2022,207.673
2022,208.687
2022,206.552
2022,204.837
2022,203.940
2022,201.171
2022,196.659
2022,193.008
2023,190.423
2023,187.711
2023,186.619
2023,192.647
2023,198.793
2023,197.601
2023,194.701
2023,191.078
2023,187.650
2023,186.879
2023,189.444
2023,190.570
2024,183.526
2024,185.660
2024,184.709
2024,182.026
2024,180.533
2024,177.588
2024,175.034
2024,174.762
2024,175.644
2024,177.776
2024,180.076
2024,181.446
2025,185.424
2025,187.057
